epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4686,2.13135,3.80021,1.71071,0.55409,0.17336,0.16903,0.06738,2.21002,2.82476,1.62646,0.000235644,0.000235644,0.000235644
2,24.4513,1.89474,2.65192,1.52786,0.41435,0.30061,0.22046,0.0797,2.28029,2.51381,1.73054,0.000464265,0.000464265,0.000464265
3,35.4935,1.86619,2.36744,1.51549,0.53891,0.19521,0.11374,0.04485,2.61528,3.4964,2.05741,0.000683462,0.000683462,0.000683462
4,46.2547,1.86666,2.22291,1.52775,0.30913,0.26973,0.22516,0.08786,2.26632,2.27276,1.75693,0.000671588,0.000671588,0.000671588
5,56.8208,1.83008,2.08631,1.48986,0.20344,0.31835,0.22389,0.0941,2.15159,2.25076,1.6869,0.000657451,0.000657451,0.000657451
6,67.2292,1.78234,1.93583,1.47169,0.34748,0.32258,0.20791,0.08484,2.22863,2.22016,1.62285,0.000643314,0.000643314,0.000643314
7,77.7266,1.76282,1.81488,1.45846,0.33479,0.36065,0.27018,0.10353,2.20438,2.14818,1.69074,0.000629177,0.000629177,0.000629177
8,88.4114,1.74907,1.75433,1.46062,0.34836,0.42225,0.30411,0.10803,2.15355,2.18786,1.67065,0.00061504,0.00061504,0.00061504
9,99.0416,1.75405,1.74222,1.45958,0.25338,0.38537,0.28673,0.11455,2.12961,2.0788,1.63716,0.000600902,0.000600902,0.000600902
10,109.54,1.72601,1.66257,1.41836,0.37301,0.35152,0.28122,0.12118,2.1828,2.02009,1.6708,0.000586765,0.000586765,0.000586765
11,120.263,1.70168,1.62075,1.40442,0.37481,0.47083,0.321,0.12494,2.0372,1.88167,1.58464,0.000572628,0.000572628,0.000572628
12,131.065,1.67179,1.5825,1.41083,0.28866,0.41272,0.30353,0.12369,2.07196,1.88228,1.5479,0.000558491,0.000558491,0.000558491
13,141.969,1.65756,1.50087,1.39777,0.45456,0.40208,0.35049,0.13168,2.15306,2.08692,1.60328,0.000544354,0.000544354,0.000544354
14,152.768,1.66515,1.49174,1.38305,0.29904,0.43417,0.32852,0.14696,2.04911,1.85116,1.59367,0.000530216,0.000530216,0.000530216
15,163.237,1.63285,1.45092,1.36097,0.2119,0.5028,0.27844,0.11385,2.05293,2.11917,1.54814,0.000516079,0.000516079,0.000516079
16,173.941,1.62524,1.45395,1.36669,0.33231,0.34096,0.31308,0.12956,2.08337,1.90437,1.58109,0.000501942,0.000501942,0.000501942
17,184.842,1.5865,1.41523,1.35084,0.30055,0.50067,0.31468,0.13152,2.11147,1.81671,1.60886,0.000487805,0.000487805,0.000487805
18,195.328,1.59155,1.40524,1.36265,0.3242,0.46515,0.34346,0.14611,2.10744,1.83226,1.61846,0.000473668,0.000473668,0.000473668
19,205.836,1.59341,1.3858,1.34456,0.33431,0.44818,0.35525,0.14844,2.08266,1.81991,1.54785,0.00045953,0.00045953,0.00045953
20,216.014,1.56245,1.36035,1.33127,0.27606,0.4775,0.32557,0.14208,2.11837,1.84417,1.63502,0.000445393,0.000445393,0.000445393
21,226.585,1.57836,1.35284,1.33668,0.35161,0.44069,0.35159,0.15852,2.08779,1.87549,1.65293,0.000431256,0.000431256,0.000431256
22,237.29,1.57329,1.32529,1.33467,0.45918,0.37629,0.32825,0.14748,2.05491,1.92987,1.58658,0.000417119,0.000417119,0.000417119
23,247.923,1.55535,1.30281,1.32283,0.34691,0.41293,0.33322,0.14792,2.07044,1.78968,1.66053,0.000402982,0.000402982,0.000402982
24,258.34,1.54239,1.2761,1.30993,0.37221,0.45188,0.35796,0.14313,2.07921,1.75795,1.55992,0.000388844,0.000388844,0.000388844
25,268.896,1.53021,1.28645,1.30478,0.36872,0.40216,0.31744,0.13505,2.12297,1.8526,1.68254,0.000374707,0.000374707,0.000374707
26,279.545,1.52021,1.225,1.28297,0.45843,0.4581,0.40172,0.18076,2.02789,1.74655,1.5715,0.00036057,0.00036057,0.00036057
27,290.076,1.52047,1.22812,1.29939,0.44961,0.43175,0.38391,0.17002,2.04527,1.72327,1.56693,0.000346433,0.000346433,0.000346433
